a_title,b_color,c_total_price,d_discount,e_discount_price,f_image_link
Gold Kundan Earring Pearl String Pendant Necklace Set,white, 3000," 50%,OFF", 1500,https://img.faballey.com/Images/Product/ZNS00008/1.jpg
Gold Green Kundan Floral Pendant Necklace Set,green, 4200," 50%,OFF", 2100,https://img.faballey.com/Images/Product/ZNS00063/1.jpg
Gold Kundan Blue Bead Pearl Earring Necklace Set,green, 3500," 50%,OFF", 1750,https://img.faballey.com/Images/Product/ZNS00042/1.jpg
Gold Kundan Mangtika Earring Necklace Set,white, 7000," 50%,OFF", 3500,https://img.faballey.com/Images/Product/ZNS00002/1.jpg
Gold Maroon Kundan Floral Necklace Set,maroon, 4500," 50%,OFF", 2250,https://img.faballey.com/Images/Product/ZNS00058/1.jpg
Gold Kundan Green Drop Pearl Earring Necklace Set,green, 3500," 50%,OFF", 1750,https://img.faballey.com/Images/Product/ZNS00047/1.jpg
Gold Green Kundan Bead Drop Earring Necklace Set,White, 7500," 50%,OFF", 3750,https://img.faballey.com/Images/Product/ZNS00018/1.jpg
Gold Kundan Pearl Earring Necklace Set,white, 4750," 50%,OFF", 2375,https://img.faballey.com/Images/Product/ZNS00044/1.jpg
White Blue Diamond Drop String Earring Necklace Set,blue, 5750," 50%,OFF", 2875,https://img.faballey.com/Images/Product/ZNS00031/1.jpg
White Diamond Floral Bunch Earring Necklace Set,white, 5500," 50%,OFF", 2750,https://img.faballey.com/Images/Product/ZNS00032/1.jpg
White Diamond Aqua Drop Earring Necklace Set,blue, 4900," 50%,OFF", 2450,https://img.faballey.com/Images/Product/ZNS00013/1.jpg
Gold Textured Contemporary Choker Necklace Set,Gold, 2200," 50%,OFF", 1100,https://img.faballey.com/Images/Product/ZNS00070/1.jpg
Gold Kundan Green Bead String Earring Necklace Set,green, 4000," 50%,OFF", 2000,https://img.faballey.com/Images/Product/ZNS00049/1.jpg
Gold Red Kundan Bead Earring Necklace Set,red, 3200," 50%,OFF", 1600,https://img.faballey.com/Images/Product/ZNS00003/1.jpg
Gold Kundan Aqua Stone Floral Pendant Necklace Set,Blue , 2950," 50%,OFF", 1475,https://img.faballey.com/Images/Product/ZNS00062/1.jpg
Gold Kundan Multicolor Stone Earring Necklace Set,maroon, 4000," 50%,OFF", 2000,https://img.faballey.com/Images/Product/ZNS00053/1.jpg
Gold Kundan Multi Pearl String Earring Necklace Set,white, 4000," 50%,OFF", 2000,https://img.faballey.com/Images/Product/ZNS00048/1.jpg
